Rate_Ratio
" Pennsylvania Resident Deaths: Age-Adjusted Rates per 100,000"

CauseofDeaths,CountyState,Year,Sex,RaceEthnicity,Age,Obs_Count,Exp_Count,Population,TRateRatio,RateRatio,LowerBound,UpperBound,Significance,FIPSCode
Suicide (intentional self-harm),Northumberland,2023,Total,All Races,All Ages,10,14,"90,120",Age-Adjusted Rate,12.0,4.6,19.5,,097
Suicide (intentional self-harm),Perry,2023,Total,All Races,All Ages,7,7,"46,083",Age-Adjusted Rate,ND,ND,ND,,099
Suicide (intentional self-harm),Philadelphia,2023,Total,All Races,All Ages,164,228,"1,550,542",Age-Adjusted Rate,10.0,8.5,11.6,-,101
Suicide (intentional self-harm),Pike,2023,Total,All Races,All Ages,9,10,"61,247",Age-Adjusted Rate,ND,ND,ND,,103
Suicide (intentional self-harm),Potter,2023,Total,All Races,All Ages,4,2,"15,999",Age-Adjusted Rate,ND,ND,ND,,105
Suicide (intentional self-harm),Schuylkill,2023,Total,All Races,All Ages,38,22,"143,786",Age-Adjusted Rate,27.3,18.6,36.0,+,107
Suicide (intentional self-harm),Snyder,2023,Total,All Races,All Ages,3,6,"39,717",Age-Adjusted Rate,ND,ND,ND,,109
Suicide (intentional self-harm),Somerset,2023,Total,All Races,All Ages,16,11,"72,197",Age-Adjusted Rate,20.8,10.6,30.9,,111
Suicide (intentional self-harm),Sullivan,2023,Total,All Races,All Ages,1,1,"5,834",Age-Adjusted Rate,ND,ND,ND,,113
Suicide (intentional self-harm),Susquehanna,2023,Total,All Races,All Ages,7,6,"38,109",Age-Adjusted Rate,ND,ND,ND,,115
Suicide (intentional self-harm),Tioga,2023,Total,All Races,All Ages,7,6,"40,840",Age-Adjusted Rate,ND,ND,ND,,117
Suicide (intentional self-harm),Union,2023,Total,All Races,All Ages,5,6,"42,042",Age-Adjusted Rate,ND,ND,ND,,119
Suicide (intentional self-harm),Venango,2023,Total,All Races,All Ages,10,8,"49,431",Age-Adjusted Rate,19.2,7.3,31.1,,121
Suicide (intentional self-harm),Warren,2023,Total,All Races,All Ages,9,6,"37,572",Age-Adjusted Rate,ND,ND,ND,,123
Suicide (intentional self-harm),Washington,2023,Total,All Races,All Ages,28,32,"210,232",Age-Adjusted Rate,12.5,7.9,17.1,,125
Suicide (intentional self-harm),Wayne,2023,Total,All Races,All Ages,9,8,"51,262",Age-Adjusted Rate,ND,ND,ND,,127
Suicide (intentional self-harm),Westmoreland,2023,Total,All Races,All Ages,71,55,"351,163",Age-Adjusted Rate,17.4,13.4,21.5,,129
Suicide (intentional self-harm),Wyoming,2023,Total,All Races,All Ages,9,4,"25,902",Age-Adjusted Rate,ND,ND,ND,,131
Suicide (intentional self-harm),York,2023,Total,All Races,All Ages,75,69,"464,640",Age-Adjusted Rate,14.5,11.2,17.7,,133

